Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source
Fusobacterium,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gaiella,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gaiella,Yes,No,No,Fomitiporia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gaiella,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gaiella,Yes,No,No,Mucor,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gaiella,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gaiella,Yes,No,No,Verticillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallicola,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallicola,Yes,No,No,Pestalotiopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Morchella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gallionella,Yes,No,No,Verticillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Basidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Ceratobasidium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Chaetomium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Coniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Nothophoma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Omphalotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Plectosphaerella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Psathyrella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Pseudogymnoascus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Schizosaccharomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Talaromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemella,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Botrytis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Coniochaeta,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Fomitiporia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Hebeloma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geminicoccus,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Hericium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Infundibulicybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Panellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmata,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatimonas,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatimonas,Yes,No,No,Stropharia,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Armillaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Coprinus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Hericium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Laetiporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Marasmius,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Panellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Tolypocladium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmatirosa,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmobacter,Yes,No,No,Basidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmobacter,Yes,No,No,Flammulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmobacter,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmobacter,Yes,No,No,Sparassis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gemmobacter,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geoalkalibacter,Yes,No,No,Polyporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geobacter,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Botrytis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Fistulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Flammulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Mucor,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Psathyrella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Sordaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geodermatophilus,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geomicrobium,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Georgenia,Yes,No,No,Botrytis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Georgenia,Yes,No,No,Ceratobasidium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Georgenia,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Georgenia,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Georgenia,Yes,No,No,Polyporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Geothermomicrobium,Yes,No,No,Coniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gillisia,Yes,No,No,Coniochaeta,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gillisia,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gillisia,Yes,No,No,Pseudogymnoascus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Basidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Botrytis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Hebeloma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Omphalotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Polyporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Sordaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Globicatella,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gluconacetobacter,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Glutamicibacter,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Glutamicibacter,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Glutamicibacter,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gordonia,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gordonia,Yes,No,No,Gyrodon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gordonia,Yes,No,No,Nothophoma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Gracilibacter,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Coniochaeta,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Flammulina,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Hypsizygus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Kuehneromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Laetiporus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Paramyrothecium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Phaeomoniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Pseudogymnoascus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Sordaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Truncatella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicatella,Yes,No,No,Umbelopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Granulicella,Yes,No,No,Calcarisporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haematobacter,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Auxarthron,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Calcarisporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Clonostachys,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Coniochaeta,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Mucor,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Nothophoma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Rhizopus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Stanjemonium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Talaromyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haemophilus,Yes,No,No,Umbelopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halanaerobium,Yes,No,No,Trichoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Conidiobolus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Lepista,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Rhizopogon,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliangium,Yes,No,No,Umbelopsis,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliscomenobacter,Yes,No,No,Pleurotus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Haliscomenobacter,Yes,No,No,Trametes,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Apiotrichum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Ilyonectria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Mortierella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Mucor,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Paramyrothecium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Penicillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Halomonas,Yes,No,No,Purpureocillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Helcococcus,Yes,No,No,Purpureocillium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Agrocybe,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Alternaria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Aspergillus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Beauveria,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Calcarisporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Chaetomium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Cladosporium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Coniella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,Yes,No,Coprinellus,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Didymella,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Epicoccum,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Fusarium,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Gaeumannomyces,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Ganoderma,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
Herbaspirillum,Yes,No,No,Grifola,https://doi.org/10.1038/s42003-021-02693-y,Widespread bacterial diversity within the bacteriome of fungi
